job,count
Projektmanager,1360
Monteur,1273
Pflegefachperson,1190
Programmierer,1025
Servicetechniker,958
Systemingenieur,926
Verkäufer,925
Schreiner,865
Mechaniker,862
Assistent,777
Verkaufsberater,762
Elektriker,745
Elektroinstallateur,729
Logistiker,589
Projektleiter,586
Kundenberater,575
Automatiker,557
Berater,520
Techniker,476
Verkaufsleiter,472
Gesundheitsfachfrau/Gesundheitsfachmann,468
Konstrukteur,464
Sachbearbeiter,457
Zimmermann,449
IT-Supporter,440
Pflegefachfrau/Pflegefachmann,437
Koch,437
Pflegefachmann,391
Verkäuferin/Verkäufer,381
Verkaufsmitarbeiter,376
Personalberater,362
Architekt,356
Teamleiter,338
Arzt,330
Leiter,329
Praktikant,320
Immobilienverwalter,317
Einkäufer,312
Polymechaniker,303
Sanitärinstallateur,301
Ingenieur,296
Elektroniker,290
Metallbauer,289
Produktionsmitarbeiter,284
Dachdecker,278
Maler,267
Gärtner,251
Pflegehelfer,249
Mitarbeiter,244
Lackierer,233
Heizungsinstallateur,231
Anlagenbauer,225
Maurer,225
Personalverantwortlicher,217
none,207
Entwickler,201
Kundendienstmitarbeiter,200
Pflegefachfrau,200
Verkaufsassistent,195
Bauleiter,195
Schlosser,194
Chauffeur,192
Personalmitarbeiter,190
Verkaufskraft,188
Systemadministrator,177
Produktionsmechaniker,175
Gipser,171
Zeichner,167
Elektromonteur,165
Qualitätsmanager,158
Verwaltungskraft,158
Entwicklungsingenieur,156
Kaufmann,155
Bauingenieur,155
Fahrer,153
Produktmanager,150
Pflegeassistent,146
Pflegefachmann/Pflegefachfrau,143
Lehrer,143
Pfleger,141
Elektrotechniker,140
Elektroplaner,137
Praxisassistent,136
Mécanicien,136
Reinigungskraft,135
Technischer Sachbearbeiter,133
Leitung,129
Landschaftsgärtner,129
Geschäftsführer,128
Produktionsleiter,126
Gerüstbauer,126
Buchhalter,125
Anlagenführer,125
Mechatroniker,124
Einkaufsberater,124
Rezeptionist,121
Abteilungsleiter,121
Kellner,119
Straßenbauer,117
Schweisser,112
Lagermitarbeiter,110
Projektchef,110
Anwendungsmanager,109
Metzger,109
Informatiker,107
Plattenleger,107
Planer,105
Praxisassistentin,103
Infirmier,102
Controller,102
Laborant,101
Gesundheitsfachfrau,100
Küchenchef,100
Bauarbeiter,100
Disponent,99
Software-Entwickler,98
Gesundheitsfachperson,96
Experte,96
Apotheker,96
Sekretär,93
Automobilmechaniker,93
Vertriebsmitarbeiter,93
Systemtechniker,92
Elektroingenieur,91
Verkäuferin,91
Wartungstechniker,90
Arbeiter,89
Hauswart,89
Bodenleger,89
Köchin/Koch,89
Radiologe,87
Automobilfachmann,87
Filialleiter,85
Personalreferent,85
Lagerarbeiter,84
Betriebsmitarbeiter,80
Produktionsplaner,80
Bauführer,80
Gesundheitsfachmann/Frau,77
Schaler,76
Berufsbildner,76
Assistentin,75
IT-Spezialist,74
Instandhaltungstechniker,73
Fachperson,72
Bäcker,71
Kranführer,71
Pflegeexperte,70
Facharbeiter,68
Qualitätskontrolleur,68
Kassierer,68
Servicemitarbeiter,68
Automationsingenieur,67
IT-Techniker,67
Physiotherapeut,67
Aussendienstmitarbeiter,66
Dreher,66
Fachfrau/Fachmann,65
Qualitätsingenieur,65
Pflegedirektor,64
Prozessingenieur,64
Werkstattleiter,62
Chefarzt,62
Verkaufsingenieur,62
Automobilmechatroniker,61
Immobilienfachmann,61
Abdichter,61
Jurist,60
Rayonleiter,60
Sicherheitsingenieur,59
Kundenservice-Mitarbeiter,58
Fachkraft,57
Psychologe,57
Koordinator,56
Wissenschaftler,56
Service-Techniker,56
Logistikmitarbeiter,56
Reifenpraktiker,56
Produktverantwortlicher,56
Installateur,55
Maschinenführer,55
Sozialpädagoge,54
Automechaniker,54
Netzwerktechniker,54
Kundenbetreuer,53
Personalassistent,53
