specialty,count
none,30033
EFZ,2295
CNC,330
Montage,296
SAP,208
Aussendienst,192
Polytechnik,182
SPS,182
Food,177
Einkauf,172
SRK,168
EBA,155
Automatisierung,141
Gesundheit,127
Hochbau,122
Hochfrequente Pflege,120
Gebäudeautomation,115
Psychiatrie,115
Elektriker,115
Junior,111
Pflege,108
Microsoft,107
Java,107
Langzeitpflege,103
Spitex,103
Nachtdienst,100
Projektmanagement,99
Medizin,99
Cloud,97
Hospiz,96
C#,92
Elektrotechnik,91
Hochschulabschluss,90
CFC,89
Instandhaltung,87
Betrieb,84
Fleisch,83
Service,81
Pharma,79
Microsoft 365,78
Automobil,77
Operativ,72
Innendienst,72
Technik,71
Frischprodukte,71
Monteur,70
Nachtwache,70
Produktion,69
Automontik,68
Automation,68
Elektro,67
Administration,65
Sanitär,65
Demenz,65
Leitung,63
Schichtarbeit,63
Notfallmedizin,62
Automatisierungstechnik,60
Embedded Systems,57
ICT,55
Baumaschinen,53
Allgemeine Innere Medizin,53
Chirurgie,53
Kältetechnik,53
AVOR,52
Heizung,51
Infrastruktur,50
.NET,50
Notfallpflege,49
CAD,48
Konditor,48
Verkauf,48
Polytechnischer,48
Kundendienst,47
Automobile,46
Diplom,46
Key Account,45
Betriebsmechaniker,45
Maschinenbau,44
Fullstack,44
CNC-Fräsen,43
Logistik,43
Radiologie,43
Elektronik,43
Nutzfahrzeuge,43
Sicherheit,43
Strategie,43
Export,43
Food/Non-Food,43
Notfallpool,42
Architektur,42
Lüftung,41
Azure,41
ERP,41
Berufsbildner,39
Allround,39
Intensivpflege,39
Neurologie,39
Immobilienbewirtschaftung,38
Operationstechnik,38
Cybersecurity,37
S4/HANA,37
Backoffice,36
ABAP,35
Garten,35
Ingenieurbau,35
Elektroplanung,35
Geschäftsführung,35
Bau,35
Allrounder,33
Betriebsunterhalt,33
Qualitätssicherung,33
Immobilien,33
Pflege und Betreuung,32
Kasse,32
EFZ/EBA,32
Mechanik,32
Flachdach,32
Akutpflege,31
Industrie,31
Gebäudetechnik,31
Berufsbildung,31
Elektrik,30
International,30
Notfall,30
Französisch,30
Fassaden,30
Linux,30
C++,30
Projektleitung,29
Biomedizinisch,29
Direktion,29
Auftragsabwicklung,29
Getränke,28
HLK,28
Full Stack,28
Kardiologie,28
Bauleitung,27
Tiefbau,27
Netzwerk,27
Elektroinstallationen,27
Embedded-Systeme,26
Onkologie,26
Successfactors,26
Polytechnique,26
Maschinen,26
Lastwagen,26
Schweiz,26
Geschäftsleitung,25
Schichtbetrieb,25
Spleissen,25
Teamleitung,25
Hotellerie-Hauswirtschaft,25
Qualitätskontrolle,24
Servicedesk,24
HF,24
Gynäkologie,24
Automatik,24
Elektromechaniker,24
Ausbildung,24
Technischer Einkauf,24
Anlagenbau,24
Rayon,24
Qualitätsmanagement,24
Metallbau,23
Nachtschicht,23
Projekt,23
Digitalisierung,23
Windows,22
IT,22
Neuanlagen,22
Mechatronik,22
Anwendungen,22
Gerontologie,22
Frontend,22
Hochfrequenz,21
Fräsen,21
Photovoltaik,21
Pädiatrie,21
Gastroenterologie,21
Sicherheits- und Wartungstechniker,21
Spezialreinigung,21
Elektromobilität,21
Holzbau,21
PHP,20
Medizintechnik,20
Kunden,20
Business Intelligence,20
Blumen,20
Polyvalent,20
Agile,20
B2B,20
Schaltanlagen,19
DevOps,19
Produktentwicklung,19
Gynäkologie und Geburtshilfe,19
Flach- und Steildach,19
Orthopädie,19
EFZ 80-100%,19
Steildach,19
Führung,19
Früchte und Gemüse,19
3D,19
Intensivmedizin,19
Fenster,19
Bahnbau,18
CNC-Drehen,18
Plattenleger,18
Medizinische Praxis,18
100%,18
Operations,18
Kategorien C und E,18
Service Desk,17
Carrosserie,17
Urologie,17
Chemie,17
SPS/PLC,17
Apparatebau,17
Sicherheitssysteme,17
Helpdesk,17
E-Mobilität,17
Hochschulpraxis,17
Anlagen,17
technisch,17
Lebensmittel,17
Brandmeldeanlagen,17
Marketing,17
Psychotherapie,17
Gesundheit und Soziales,17
Innere Medizin,16
HLKS,16
Microsoft Dynamics 365,16
Betreuung,16
Decken,16
Global,16
Altenpflege,16
Unterhalt,16
Maschinist,16
Backend,16
Qualität,16
GMP,16
Polymechaniker,16
Wärmepumpen,16
Kategorien C und CE,16
Wartung,16
Plattform,15
Reinigung,15
Support,15
Angiologie,15
Deutsch,15
Informatik,15
Küchen und Bäder,15
Mechaniker,15
Spritzguss,15
Psychiatrie und Psychotherapie,15
administratif,15
Nacht,15
Facility Management,15
Pflegestudent,15
Allgemeinmedizin,15
Usinage,15
PLC,15
Gerontopsychiatrie,15
Dynamics 365,15
Full-Stack,15
Soziales,15
Schaltanlagenbau,14
Landmaschinen,14
Software,14
Elektroinstallation,14
Kinder- und Jugendpsychiatrie,14
Pneumologie,14
